Fold,RMSE,MAE
1,0.012941975723039905,0.00796555580916229
2,0.035361470788258166,0.016929683447338653
3,0.020579360859787742,0.014300554047352868
4,0.007479838167478866,0.005551669264540952
5,0.11492993297983861,0.05868995798828813
Promedio,0.03825851570368066,0.020687484111336578
